Word,Count,POS,Antonyms
a la carte,10,adjective,table d'hote
a posteriori,12,adjective,a priori
a posteriori,12,adverb,a priori
a priori,8,adjective,a posteriori
a priori,8,adverb,a posteriori
abactinal,9,adjective,actinal
abaft,5,adverb,fore
abaxial,7,adjective,adaxial
abaxially,9,adverb,adaxially
abbreviate,10,verb,expand
abbreviated,11,verb,expand
abducent,8,adjective,adducent
abduct,6,verb,adduct
abducting,9,verb,adduct
abducting,9,adjective,adducent
abidance,8,noun,nonconformity;noncompliance
abide by,8,verb,disrespect
abience,7,noun,adience
abient,6,adjective,adient
ability,7,noun,inability|inability
able,4,adjective,unable
ably,4,adverb,incompetently
abnormal,8,adjective,normal|normal
abnormalcy,10,noun,normality
abnormality,11,noun,normality
abolish,7,verb,establish
aborad,6,adverb,orad
aboral,6,adjective,oral
aboriginal,10,adjective,nonnative
above,5,adverb,below|below
aboveboard,10,adverb,dishonestly
abranchial,10,adjective,branchiate
abranchiate,11,adjective,branchiate
abranchious,11,adjective,branchiate
abridge,7,verb,expand
abridged,8,verb,expand
abridged,8,adjective,unabridged
abruptness,10,noun,gradualness
absence,7,noun,presence|presence
absent,6,adjective,present
absolute,8,adjective,relative
absolve,7,verb,blame
absolved,8,verb,blame
absorb,6,verb,emit
absorbable,10,adjective,adsorbable
absorbed,8,verb,emit
absorbency,10,noun,nonabsorbency
absorbent,9,adjective,nonabsorbent
absorbing,9,verb,emit
absorptive,10,adjective,nonabsorbent
abstain,7,verb,consume
abstainer,9,noun,drinker
abstemious,10,adjective,gluttonous
abstinent,9,noun,drinker
abstract,8,adjective,concrete
abstracter,10,adjective,concrete
abstractly,10,adverb,concretely
abstractness,12,noun,concreteness
abstruseness,12,noun,clarity
abundance,9,noun,scarcity
abundant,8,adjective,scarce
abused,6,adjective,unabused
ac,2,noun,direct current
acanthopterygian,16,noun,soft-finned fish
acapnia,7,noun,hypercapnia
acarpellous,11,adjective,carpellate
acarpelous,10,adjective,carpellate
acatalectic,11,adjective,catalectic
acaudal,7,adjective,caudate
acaudate,8,adjective,caudate
acaulescent,11,adjective,caulescent
accede,6,verb,dissent
accelerate,10,verb,decelerate|decelerate
accelerated,11,verb,decelerate|decelerate
acceleration,12,noun,deceleration|deceleration|deceleration
accelerator,11,noun,anticatalyst
accented,8,adjective,atonic|unstressed
accentual,9,adjective,quantitative
accept,6,verb,reject|refuse|refuse
acceptability,13,noun,unacceptability
acceptable,10,adjective,unacceptable
acceptableness,14,noun,unacceptability
acceptably,10,adverb,unacceptably;intolerably
acceptance,10,noun,rejection
accepted,8,verb,reject|refuse|refuse
accepting,9,verb,reject|refuse|refuse
acceptive,9,adjective,rejective
accessibility,13,noun,inaccessibility;unavailability|unapproachability
accessible,10,adjective,inaccessible
accidentally,12,adverb,deliberately|intentionally;deliberately
acclaim,7,verb,boo
acclivity,9,noun,descent
accommodate,11,verb,disoblige
accommodating,13,verb,disoblige
accommodating,13,adjective,unaccommodating
accommodative,13,adjective,unaccommodating
accompanied,11,adjective,unaccompanied|unaccompanied
accord,6,noun,disagreement
accordant,9,adjective,discordant
accrual basis,13,noun,cash basis
accuracy,8,noun,inaccuracy
accurate,8,adjective,inaccurate
accurately,10,adverb,inaccurately
accusatorial,12,adjective,inquisitorial
accustomed,10,adjective,unaccustomed
acellular,9,adjective,cellular
acetify,7,verb,sweeten|alkalize
achiever,8,noun,loser
achlamydeous,12,adjective,chlamydeous
achondritic,11,adjective,chondritic
achromatic,10,adjective,chromatic
achromatic color,16,noun,chromatic color
achromatic colour,17,noun,chromatic color
achromaticity,13,noun,color
achromatinic,12,adjective,chromatinic
achromatism,11,noun,color
acidic,6,adjective,alkaline
acidify,7,verb,sweeten|alkalize
acidity,7,noun,alkalinity
acid-loving,11,adjective,alkaline-loving
acidulate,9,verb,sweeten
acknowledge,11,verb,deny
acknowledged,12,verb,deny
acknowledged,12,adjective,unacknowledged
acquaintance,12,noun,stranger
acquiesce,9,verb,dissent
acquire,7,verb,lose
acquired,8,verb,lose
acquiring,9,verb,lose
acquisitive,11,adjective,unacquisitive
acquit,6,verb,convict
acquittal,9,noun,conviction
acquitted,9,verb,convict
acrocarp,8,noun,pleurocarp
acrocarpous,11,adjective,pleurocarpous
acrocarpous moss,16,noun,pleurocarp
acropetal,9,adjective,basipetal
acroscopic,10,adjective,basiscopic
act,3,verb,refrain
actable,7,adjective,unactable
actinal,7,adjective,abactinal
acting,6,verb,refrain
actinomorphic,13,adjective,zygomorphic
actinomorphous,14,adjective,zygomorphic
action,6,noun,inaction;inactivity;inactiveness
activate,8,verb,inactivate
activated,9,verb,inactivate
activating,10,verb,inactivate
activation,10,noun,inactivation|deactivation
activator,9,noun,inhibitor
active,6,noun,passive voice
active,6,adjective,inactive|passive|inactive|inactive|inactive|quiet|passive|stative|extinct|dormant|inactive
active trust,12,noun,passive trust
active voice,12,noun,passive voice
actively,8,adverb,passively
activeness,10,noun,inaction;inactivity;inactiveness|inactiveness
activity,8,noun,inactivity|inaction;inactivity;inactiveness|inactiveness
acts,4,verb,refrain
actual,6,adjective,potential
actual sin,10,noun,original sin
acute,5,adjective,chronic|obtuse
acutely,7,adverb,chronically
acuteness,9,noun,obtuseness
acyclic,7,adjective,cyclic|cyclic
adaptability,12,noun,unadaptability
adaptable,9,adjective,unadaptable
adaptative,10,adjective,maladaptive
adaptive,8,adjective,maladaptive
adaxial,7,adjective,abaxial
adaxially,9,adverb,abaxially
add,3,verb,take away|subtract
add together,12,verb,subtract
addicted,8,adjective,unaddicted
addictive,9,adjective,nonaddictive
addition,8,noun,subtraction
additive,8,adjective,nonlinear|subtractive
addressed,9,adjective,unaddressed
adducent,8,adjective,abducent
adduct,6,verb,abduct
adducting,9,verb,abduct
adducting,9,adjective,abducent
adductive,9,adjective,abducent
adequacy,8,noun,inadequacy|insufficiency;inadequacy
adequate,8,adjective,inadequate
adequately,10,adverb,inadequately
adequateness,12,noun,inadequacy
adhesive,8,adjective,nonadhesive
adiabatic,9,adjective,diabatic
adience,7,noun,abience
adient,6,adjective,abient
adjective,9,adjective,substantive
adjust,6,verb,skew
adjusted,8,verb,skew
adjusted,8,adjective,unadjusted|maladjusted
admire,6,verb,look down on
admired,7,verb,look down on
admissibility,13,noun,inadmissibility
admissible,10,adjective,inadmissible
admit,5,verb,deny|reject|exclude
adnate,6,adjective,connate
adoptable,9,adjective,unadoptable
adopted,7,adjective,native
adoptive,8,adjective,biological|native
adorned,7,adjective,unadorned
adroit,6,adjective,maladroit
adroitly,8,adverb,maladroitly
adscript,8,adjective,superscript
adsorbable,10,adjective,absorbable
adsorbate,9,adjective,absorbable
adsorbent,9,adjective,nonadsorbent
adsorptive,10,adjective,nonadsorbent
adult,5,noun,juvenile
adult female,12,noun,man
adult male,10,noun,woman
adulterant,10,adjective,purifying
adulterating,12,adjective,purifying
advance,7,noun,retreat
advance,7,verb,recede|back|fall back|regress|demote
advanced,8,verb,recede|back|fall back|regress|demote
advancement,11,noun,retreat
advancing,9,verb,recede|back|fall back|regress|demote
advantage,9,noun,disadvantage|penalty
advantage,9,verb,disadvantage
advantageous,12,adjective,disadvantageous
advantageously,14,adverb,badly;disadvantageously
advantageousness,16,noun,unfavorableness
adventuresome,13,adjective,unadventurous
adventurous,11,adjective,unadventurous
adversary,9,noun,agonist
advertently,11,adverb,unmindfully;inadvertently
advisability,12,noun,inadvisability
advisable,9,adjective,inadvisable
advised,7,adjective,ill-advised
