lemma,Count,part_of_speech,hypernyms
0,1,noun,digit
0.22,4,noun,firearm
1,1,noun,digit
2,1,noun,digit
3,1,noun,digit
4,1,noun,digit
5,1,noun,digit
6,1,noun,digit
7,1,noun,digit
8,1,noun,digit
9,1,noun,digit
10,2,noun,large integer
11,2,noun,large integer
12,2,noun,large integer
13,2,noun,large integer
14,2,noun,large integer
15,2,noun,large integer
16,2,noun,large integer
17,2,noun,large integer
18,2,noun,large integer
19,2,noun,large integer
20,2,noun,large integer
21,2,noun,large integer
22,2,noun,large integer
23,2,noun,large integer
24,2,noun,large integer
25,2,noun,large integer
26,2,noun,large integer
27,2,noun,large integer
28,2,noun,large integer
29,2,noun,large integer
30,2,noun,large integer
40,2,noun,large integer
50,2,noun,large integer
60,2,noun,large integer
70,2,noun,large integer
78,2,noun,large integer|phonograph record
80,2,noun,large integer
90,2,noun,large integer
100,3,noun,large integer
120,3,noun,large integer
144,3,noun,large integer
500,3,noun,large integer
1000,4,noun,large integer
1728,4,noun,large integer
10000,5,noun,large integer
01-Jan,5,noun,feast day|holy day of obligation|legal holiday
06-Jan,5,noun,christian holy day
19-Jan,5,noun,day
20-Jan,5,noun,christian holy day|day
02-Feb,5,noun,quarter day
02-Feb,5,noun,day
12-Feb,5,noun,day
14-Feb,5,noun,day
22-Feb,5,noun,day
29-Feb,6,noun,day
02-Mar,5,noun,day
17-Mar,5,noun,day
19-Mar,5,noun,christian holy day
25-Mar,5,noun,quarter day
14-Apr,5,noun,day
01-May,5,noun,day
24-May,5,noun,legal holiday
03-Jun,5,noun,day
14-Jun,5,noun,day
21-Jun,5,noun,solstice
23-Jun,5,noun,day
24-Jun,5,noun,quarter day
29-Jun,5,noun,christian holy day
01-Jul,5,noun,legal holiday
04-Jul,5,noun,legal holiday
14-Jul,5,noun,legal holiday
01-Aug,5,noun,quarter day
06-Aug,5,noun,christian holy day
15-Aug,5,noun,holy day of obligation
17-Sep,5,noun,day
29-Sep,5,noun,quarter day
12-Oct,5,noun,legal holiday
24-Oct,5,noun,day
01-Nov,5,noun,holy day of obligation
02-Nov,5,noun,christian holy day
05-Nov,5,noun,day
11-Nov,5,noun,quarter day
11-Nov,5,noun,legal holiday
08-Dec,5,noun,holy day of obligation
24-Dec,5,noun,holiday
25-Dec,5,noun,feast day;holy day of obligation;legal holiday;quarter day
31-Dec,5,noun,day
100000,6,noun,large integer
1000000,7,noun,large integer
1000000000,10,noun,large integer
1.00E+12,13,noun,large integer|large integer
11-plus,7,noun,examination
12-tone music,13,noun,serialism
12-tone system,14,noun,serialism
15 minutes,10,noun,time unit
1530s,5,noun,decade
16 pf,5,noun,self-report personality inventory
1750s,5,noun,decade
1760s,5,noun,decade
1770s,5,noun,decade
1780s,5,noun,decade
1790s,5,noun,decade
1820s,5,noun,decade
1830s,5,noun,decade
1840s,5,noun,decade
1850s,5,noun,decade
1860s,5,noun,decade
1870s,5,noun,decade
1880s,5,noun,decade
1890s,5,noun,decade
18-karat gold,13,noun,alloy
1900s,5,noun,decade
1920s,5,noun,decade
1930s,5,noun,decade
1940s,5,noun,decade
1950s,5,noun,decade
1960s,5,noun,decade
1970s,5,noun,decade
1980s,5,noun,decade
1990s,5,noun,decade
1-dodecanol,11,noun,alcohol
1-hitter,8,noun,baseball
1st class,9,noun,mail
1st lieutenant,14,noun,lieutenant
1st-class mail,14,noun,mail
20/20,5,noun,acuity
22-karat gold,13,noun,alloy
24-Jul,5,noun,uptime
24-hour interval,16,noun,time unit
24-karat gold,13,noun,gold
2-hitter,8,noun,baseball
2-hydroxybenzoic acid,21,noun,hydroxy acid
2-methylpropenoic acid,22,noun,acid
2nd lieutenant,14,noun,lieutenant
30 minutes,10,noun,time unit
365 days,8,noun,year
366 days,8,noun,year
3d,2,noun,movie|appearance
3-d,3,noun,movie|appearance
3d radar,8,noun,radar
3-hitter,8,noun,baseball
3tc,3,noun,nucleoside reverse transcriptase inhibitor
401-k,5,noun,pension plan
401-k plan,10,noun,pension plan
440 yards,9,noun,linear unit
4-hitter,8,noun,baseball
4to,3,noun,size
4wd,3,noun,motor vehicle|transmission
5-hitter,8,noun,baseball
5-hydroxy-3-methylglutaryl-coenzyme a reductase,47,noun,reductase
5-hydroxytryptamine,19,noun,monoamine neurotransmitter
60 minutes,10,noun,time unit
880 yards,9,noun,linear unit
8vo,3,noun,size
a,1,noun,metric linear unit|fat-soluble vitamin|nucleotide|purine|current unit|letter|blood group
a battery,9,noun,battery
a capella singing,17,noun,singing
a cappella singing,18,noun,singing
a la carte,10,noun,menu
a level,7,noun,grade
a. testudineus,14,noun,fish
aa,2,noun,lava|nongovernmental organization|associate degree
aaa,3,noun,aortic aneurysm
aah,3,verb,exclaim
aalii,5,noun,tree
aardvark,8,noun,placental
aardwolf,8,noun,hyena
aaron's rod,11,noun,mullein
aarp,4,noun,association
aas,3,noun,associate degree|lava|nongovernmental organization|associate degree
aave,4,noun,american english
ab,2,noun,bachelor's degree|jewish calendar month|skeletal muscle|blood group
aba,3,noun,overgarment|fabric
aba transit number,18,noun,number
abaca,5,noun,hemp|banana
abacinate,9,verb,blind
abacus,6,noun,tablet|calculator
abalone,7,noun,gastropod
abamp,5,noun,current unit
abampere,8,noun,current unit
abandon,7,noun,unrestraint|passion
abandon,7,verb,discard|leave|leave
abandoned,9,verb,discard|leave|leave
abandoned infant,16,noun,baby
abandoned person,16,noun,unfortunate
abandoned ship,14,noun,ship
abandonment,11,noun,rejection|withdrawal|disposal
abarticulation,14,noun,dislocation
abase,5,verb,hurt
abasement,9,noun,humiliation|degradation
abash,5,verb,upset
abashed,7,verb,upset
abashment,9,noun,embarrassment
abasia,6,noun,disability of walking
abasia trepidans,16,noun,abasia
abatable nuisance,17,noun,nuisance
abate,5,verb,decrease|decrease
abatement,9,noun,interruption|moderation
abatement of a nuisance,23,noun,abatement
abatis,6,noun,line of defense
abator,6,noun,person
abattis,7,noun,line of defense
abattoir,8,noun,building
abaya,5,noun,robe
abbacy,6,noun,jurisdiction
abbe,4,noun,abbot
abbe condenser,14,noun,condenser
abbess,6,noun,superior
abbey,5,noun,church|convent|monastery
abbot,5,noun,superior
abbreviate,10,verb,decrease|reduce
abbreviated,11,verb,decrease|reduce
abbreviation,12,noun,form|shortening
abbreviator,11,noun,redact
abc,3,noun,fundamentals
abcoulomb,9,noun,charge unit
abcs,4,noun,fundamentals|fundamentals
abc's,5,noun,fundamentals
abdicate,8,verb,vacate
abdication,10,noun,resignation|resignation
abdicator,9,noun,quitter
abdomen,7,noun,body part|cavity
abdominal,9,noun,skeletal muscle
abdominal actinomycosis,23,noun,actinomycosis
abdominal aorta,15,noun,aorta
abdominal aortic aneurysm,25,noun,aortic aneurysm
abdominal breathing,19,noun,breathing
abdominal cavity,16,noun,cavity
abdominal delivery,18,noun,delivery
abdominal external oblique muscle,33,noun,abdominal
abdominal muscle,16,noun,skeletal muscle
abdominal nerve plexus,22,noun,nerve plexus
abdominal pregnancy,19,noun,ectopic pregnancy
abdominal wall,14,noun,wall
abdominocentesis,16,noun,centesis
abdominoplasty,14,noun,plastic surgery
abdominousness,14,noun,fatness
abduce,6,verb,testify
abducens,8,noun,cranial nerve
abducens muscle,15,noun,ocular muscle
abducens nerve,14,noun,cranial nerve
abducent,8,noun,cranial nerve
abducent nerve,14,noun,cranial nerve
abduct,6,verb,seize|pull
abducting,9,verb,seize|pull
abduction,9,noun,capture|motion
abductor,8,noun,captor;criminal|skeletal muscle
abductor muscle,15,noun,skeletal muscle
abecedarian,11,noun,novice|sect
abecedarius,11,noun,poem
abele,5,noun,poplar
abelia,6,noun,shrub
abelian group,13,noun,group
abelmoschus,11,noun,dilleniid dicot genus
abelmoschus esculentus,22,noun,herb
abelmoschus moschatus,21,noun,mallow
abelmosk,8,noun,mallow
abenaki,7,noun,algonquian
aberdeen angus,14,noun,beef
aberrance,9,noun,abnormality
aberrancy,9,noun,abnormality
aberrant,8,noun,anomaly
aberrate,8,verb,deviate|deviate
aberration,10,noun,abnormality|mental disorder|optical phenomenon
abet,4,verb,assist
abetalipoproteinemia,20,noun,genetic disease;hypobetalipoproteinemia;lipidosis
abetment,8,noun,encouragement
abettal,7,noun,encouragement
abetter,7,noun,accessory
abettor,7,noun,accessory
abeyance,8,noun,inaction
abfarad,7,noun,capacitance unit
abhenry,7,noun,inductance unit
abhor,5,verb,hate
abhorrence,10,noun,disgust;hate
abhorrer,8,noun,signer
abidance,8,noun,cooperation|act|continuance
abide,5,verb,stay|permit
abide by,8,verb,obey|accept
abiding,7,verb,stay|permit
abience,7,noun,urge
abies,5,noun,gymnosperm genus
abies,5,verb,right
abies alba,10,noun,silver fir
abies amabilis,14,noun,silver fir
abies balsamea,14,noun,silver fir
abies bracteata,15,noun,fir
abies concolor,14,noun,silver fir
abies fraseri,13,noun,silver fir
abies grandis,13,noun,silver fir
abies lasiocarpa,16,noun,silver fir
abies lowiana,13,noun,silver fir
abies venusta,13,noun,fir
ability,7,noun,quality|cognition
abiogenesis,11,noun,organic phenomenon
abiogenist,10,noun,believer
abiotrophy,10,noun,degeneration
abjection,9,noun,humiliation
abjuration,10,noun,disavowal
abjure,6,verb,disown
abjurer,7,noun,person
abkhas,6,noun,circassian
abkhasian,9,noun,circassian|circassian
abkhaz,6,noun,circassian
abkhazian,9,noun,circassian|circassian
ablactate,9,verb,deprive
ablactation,11,noun,bodily process|substitution
ablate,6,verb,wear|remove
ablated,7,verb,wear|remove
ablation,8,noun,operation|erosion
ablative,8,noun,oblique
ablative absolute,17,noun,constituent
ablative case,13,noun,oblique
ablaut,6,noun,vowel
able seaman,11,noun,mariner
able-bodied seaman,18,noun,mariner
able-bodiedism,14,noun,discrimination
able-bodism,11,noun,discrimination
ableism,7,noun,discrimination
ablepharia,10,noun,birth defect
ablism,6,noun,discrimination
abls,4,noun,bachelor's degree
ablution,8,noun,ritual;wash
abm,3,noun,guided missile
abnaki,6,noun,algonquian|algonquian
abnegate,8,verb,control|surrender|deny
abnegation,10,noun,denial|renunciation;selflessness
abnegator,9,noun,donor
abney level,11,noun,surveyor's level
abnormal psychology,19,noun,psychology
abnormalcy,10,noun,physical condition
abnormality,11,noun,physical condition|retardation|unfamiliarity|misbehavior
abo,3,noun,australian;ethnic group
abo antibodies,14,noun,antibody
abo blood group system,22,noun,classification system
abo group,9,noun,classification system
abo system,10,noun,classification system
abocclusion,11,noun,disorder
abode,5,noun,address|housing
abode,5,verb,stay|permit
abohm,5,noun,resistance unit
abolishment,11,noun,termination
abolition,9,noun,termination
abolitionism,12,noun,doctrine
abolitionist,12,noun,reformer
abomasum,8,noun,stomach
a-bomb,6,noun,bomb;nuclear weapon
abominable snowman,18,noun,legendary creature
abominate,9,verb,hate
abomination,11,noun,person|disgust;hate|transgression
abominator,10,noun,hater
abor,4,noun,kamarupan
aboriginal,10,noun,australian;ethnic group|person
aboriginal australian,21,noun,austronesian
aborigine,9,noun,person|australian;ethnic group
abort,5,noun,termination
abort,5,verb,end|die|exhaust
aborticide,10,noun,drug|induced abortion
abortifacient,13,noun,drug
abortion,8,noun,termination|failure
abortion pill,13,noun,abortifacient
abortion-inducing drug,22,noun,drug
abortionist,11,noun,doctor
abortus,7,noun,fetus
aboulia,7,noun,psychological state
abound,6,verb,be|have
abound in,9,verb,occur
abounding,9,verb,be|have
about turn,10,noun,reversion
about-face,10,noun,reversion|change
about-face,10,verb,turn|rethink
above,5,noun,section
abracadabra,11,noun,gibberish
abrachia,8,noun,abnormality
abradant,8,noun,material|tool
abrade,6,verb,wear away|rub
abrader,7,noun,tool
abrading stone,14,noun,abrader
abraham's bosom,15,noun,heaven
abramis,7,noun,fish genus
abramis brama,13,noun,freshwater bream
abrase,6,verb,wear away
abrasion,8,noun,wound|erosion|friction
abrasive,8,noun,material
abrasive material,17,noun,material
abrasiveness,12,noun,roughness|disagreeableness
abreact,7,verb,still
abreaction,10,noun,purge
abridge,7,verb,decrease|restrict
abridged,8,verb,decrease|restrict
abridgement,11,noun,summary
abridger,8,noun,redact
abridgment,10,noun,summary
abrocoma,8,noun,mammal genus
abrocome,8,noun,rodent
abrogate,8,verb,abolish
abrogation,10,noun,cancellation
abrogator,9,noun,authority
abronia,7,noun,caryophylloid dicot genus
abronia elliptica,17,noun,sand verbena
abronia fragrans,16,noun,sand verbena
