lemma,Count,part_of_speech,hyponyms
0.22,4,noun,twenty-two pistol;twenty-two rifle
1,1,noun,monad;singleton
2,1,noun,couple;craps
12,2,noun,boxcars
1000,4,noun,millenary
05-Nov,5,noun,bonfire night;guy fawkes day
31-Dec,5,noun,hogmanay
1000000000,10,noun,milliard
1st class,9,noun,correspondence
1st-class mail,14,noun,correspondence
24-hour interval,16,noun,date;date;eve;morrow;today;tomorrow;yesterday
60 minutes,10,noun,man hour;sidereal hour
a,1,noun,vitamin a1;vitamin a2
ab,2,noun,external oblique muscle;transversus abdominis muscle
abalone,7,noun,ormer
abandon,7,verb,chuck;consign;dispense with;forfeit|foreswear|ditch;expose;maroon;walk out
abandoned,9,verb,chuck;consign;dispense with;forfeit|foreswear|ditch;expose;maroon;walk out
abandoned person,16,noun,castaway
abandonment,11,noun,apostasy;bolt;exposure|abscondment;absence without leave;deviationism|discard;discard
abase,5,verb,crush;take down
abasement,9,noun,degeneracy;depth|comedown
abash,5,verb,confuse
abashed,7,verb,confuse
abasia,6,noun,abasia trepidans;atactic abasia;choreic abasia;paralytic abasia;paroxysmal trepidant abasia;spastic abasia
abatement,9,noun,defervescence;remission|abatement of a nuisance
abatement of a nuisance,23,noun,asbestos abatement
abbess,6,noun,mother
abbot,5,noun,abbe
abbreviate,10,verb,bowdlerize;digest
abbreviated,11,verb,bowdlerize;digest
abbreviation,12,noun,apocope
abdomen,7,noun,underbelly
abdominal,9,noun,external oblique muscle;transversus abdominis muscle
abdominal muscle,16,noun,external oblique muscle;transversus abdominis muscle
abduct,6,verb,shanghai
abducting,9,verb,shanghai
abductor,8,noun,crimp;shanghaier|musculus abductor digiti minimi manus;musculus abductor digiti minimi pedis;musculus abductor hallucis;musculus abductor pollicis
abductor muscle,15,noun,musculus abductor digiti minimi manus;musculus abductor digiti minimi pedis;musculus abductor hallucis;musculus abductor pollicis
aberrance,9,noun,chromosomal aberration;deflection
aberrancy,9,noun,chromosomal aberration;deflection
aberration,10,noun,chromosomal aberration;deflection|chromatic aberration;spherical aberration
abeyance,8,noun,cold storage;deferral;moratorium;standdown
abidance,8,noun,formality;honoring;keeping;line|lodging;occupancy
abide,5,verb,overstay;visit|accept;bear up;pay;sit out;stand for;take a joke;take lying down
abide by,8,verb,conform to;oblige;toe the line|lionize;tolerate
abiding,7,verb,overstay;visit|accept;bear up;pay;sit out;stand for;take a joke;take lying down
ability,7,noun,adaptability;capability;competence;contractility;form;immunocompetence;interoperability;magical ability;midas touch;penetration;physical ability;sensitivity;totipotency|aptitude;bilingualism;capacity;creativity;faculty;hand;intelligence;know-how;leadership;originality;skill;skill;superior skill
abjection,9,noun,degeneracy;depth
abjuration,10,noun,withdrawal
ablation,8,noun,adenoidectomy;adrenalectomy;appendectomy;cholecystectomy;clitoridectomy;embolectomy;endarterectomy;enervation;hypophysectomy;hysterectomy;laminectomy;laryngectomy;lithotomy;lobectomy;lumpectomy;mastectomy;mastoidectomy;meniscectomy;nephrectomy;neurectomy;oophorectomy;oophorosalpingectomy;ophthalmectomy;orchidectomy;pancreatectomy;pneumonectomy;prostatectomy;salpingectomy;septectomy;sigmoidectomy;splenectomy;stapedectomy;sympathectomy;thrombectomy;thyroidectomy;tonsillectomy;vasectomy;vulvectomy
ablaut,6,noun,grade
abnormalcy,10,noun,aberrance;abrachia;acardia;acephalia;acorea;acromicria;acromphalus;amastia;aneuploidy;anomaly;anorchism;arrested development;asynclitism;atresia;atypicality;brachydactyly;cryptorchidy;cyclopia;deviated septum;dextrocardia;dysplasia;ectrodactyly;erethism;fetal distress;gynecomastia;hepatomegaly;hydatid mole;hydramnios;hydrocephalus;hypervitaminosis;hypospadias;infantilism;inversion;irritation;lagophthalmos;macrencephaly;macrocephaly;mental abnormality;microbrachia;microcephaly;nanophthalmos;pachycheilia;palmature;phimosis;pneumothorax;progeria;retroversion;sequela;spinal curvature;strabismus;subnormality;torticollis;transposition;varix
abnormality,11,noun,aberrance;abrachia;acardia;acephalia;acorea;acromicria;acromphalus;amastia;aneuploidy;anomaly;anorchism;arrested development;asynclitism;atresia;atypicality;brachydactyly;cryptorchidy;cyclopia;deviated septum;dextrocardia;dysplasia;ectrodactyly;erethism;fetal distress;gynecomastia;hepatomegaly;hydatid mole;hydramnios;hydrocephalus;hypervitaminosis;hypospadias;infantilism;inversion;irritation;lagophthalmos;macrencephaly;macrocephaly;mental abnormality;microbrachia;microcephaly;nanophthalmos;pachycheilia;palmature;phimosis;pneumothorax;progeria;retroversion;sequela;spinal curvature;strabismus;subnormality;torticollis;transposition;varix|feeblemindedness|deviation
abode,5,noun,domicile;home|cliff dwelling;condominium;fixer-upper;hearth;hermitage;homestead;house;lake dwelling;lodge;messuage;semi-detached house;vacation home;yurt
abode,5,verb,overstay;visit|accept;bear up;pay;sit out;stand for;take a joke;take lying down
abolish,7,verb,abrogate;cashier
a-bomb,6,noun,clean bomb;dirty bomb;neutron bomb
aboriginal,10,noun,filipino;levantine;mauritian;russian;seychellois
aboriginal australian,21,noun,dyirbal;walbiri
aborigine,9,noun,filipino;levantine;mauritian;russian;seychellois
abort,5,verb,miscarry
aborticide,10,noun,abortion pill
abortifacient,13,noun,abortion pill
abortion,8,noun,induced abortion;spontaneous abortion
abortion-inducing drug,22,noun,abortion pill
about-face,10,noun,undoing
abradant,8,noun,carborundum;emery cloth;emery paper;steel wool|abrading stone;steel-wool pad
abrade,6,verb,chafe;rasp
abrader,7,noun,abrading stone;steel-wool pad
abrase,6,verb,chafe;rasp
abrasion,8,noun,graze;rope burn
abrasive,8,noun,carborundum;emery cloth;emery paper;steel wool
abrasive material,17,noun,carborundum;emery cloth;emery paper;steel wool
abridge,7,verb,bowdlerize;digest
abridged,8,verb,bowdlerize;digest
abrogation,10,noun,derogation;recall;revocation;vacation
abs,3,noun,external oblique muscle;transversus abdominis muscle
abscess,7,noun,abscessed tooth
abscission,10,noun,circumcision
abscond,7,verb,levant
absconder,9,noun,alien absconder
absence,7,noun,awayness;nonoccurrence|absenteeism;cut;default|complex absence;pure absence;subclinical absence
absence seizure,15,noun,complex absence;pure absence;subclinical absence
absentee,8,noun,awol;defaulter;exile;truant
absolute threshold,18,noun,pain threshold
absolute value,14,noun,modulus
absolution,10,noun,indulgence
absolutism,10,noun,police state
absolve,7,verb,excuse;wash one's hands
absolved,8,verb,excuse;wash one's hands
absorb,6,verb,assimilate;reabsorb|imbibe|blot;sponge up;wipe up|suck|drink in|consume;involve;rivet
absorbed,8,verb,assimilate;reabsorb|imbibe|blot;sponge up;wipe up|suck|drink in|consume;involve;rivet
absorbent,9,noun,absorbent cotton;absorber;sponge
absorbent material,18,noun,absorbent cotton;absorber;sponge
absorbing,9,verb,assimilate;reabsorb|imbibe|blot;sponge up;wipe up|suck|drink in|consume;involve;rivet
absorption,10,noun,imbibition|americanization;anglicization;europeanization;westernization|anabolism;malabsorption|focus;specialism;study|absentmindedness;abstractedness
absorption indicator,20,noun,fluorescein
absorption unit,15,noun,sabin
absquatulate,12,verb,levant
abstain,7,verb,fast;fast;keep off;teetotal
abstainer,9,noun,puritan;stylite|teetotaler
abstinence,10,noun,chastity;fast;inhibition;sawm;sobriety;teetotaling
abstinent,9,noun,teetotaler
abstract,8,noun,absolute;right;teacher;thing|apercu;brief;epitome
abstract art,12,noun,op art
abstract artist,15,noun,suprematist
abstract entity,15,noun,attribute;communication;group;measure;otherworld;psychological feature;relation;set
abstract thought,16,noun,analysis;argumentation;conjecture;deduction;inference;prediction;ratiocination;regress;synthesis
abstractedness,14,noun,reverie
abstraction,11,noun,absolute;right;teacher;thing|reverie|attribute;communication;group;measure;otherworld;psychological feature;relation;set
abstractionism,14,noun,op art
abstractionist,14,noun,suprematist
abundance,9,noun,amplitude;luxuriance;overabundance;plenty;profusion;wealth
abuse,5,noun,child abuse;child neglect;cruelty;persecution|low blow;scurrility;stinger;vituperation|substance abuse
abuse,5,verb,kick around|fracture;take in vain|curse;slang;vilify
abused,6,verb,kick around|fracture;take in vain|curse;slang;vilify
abut,4,verb,neighbor
acacia,6,noun,catechu;fever tree;huisache;shittah;wattle
academic,8,noun,professor
academic administrator,22,noun,dean;president;provost;registrar
academic degree,15,noun,associate degree;bachelor's degree;doctor's degree;honorary degree;honours;law degree;master's degree
academic department,19,noun,anthropology department;art department;biology department;chemistry department;department of computer science;economics department;english department;history department;linguistics department;mathematics department;music department;philosophy department;physics department;psychology department;sociology department
academic gown,13,noun,geneva gown
academic relation,17,noun,teacher-student relation
academic requirement,20,noun,language requirement
academic robe,13,noun,geneva gown
academic session,16,noun,quarter;semester;summer school;trimester
academic term,13,noun,quarter;semester;summer school;trimester
academician,11,noun,professor
academy,7,noun,academy of motion picture arts and sciences;academy of television arts and sciences;french academy;national academy of sciences;royal academy;royal society|air force academy;military academy;naval academy;plato's academy;police academy;yeshiva
acadian,7,noun,cajun
acanthoma,9,noun,keratoacanthoma
acanthopterygian,16,noun,anomalops;barracuda;batfish;boarfish;boarfish;dory;dragonet;flashlight fish;flatfish;frogfish;goosefish;percoid fish;plectognath;remora;sand lance;sargassum fish;scorpaenoid;silversides;squirrelfish;stickleback;toadfish
acanthus,8,noun,bear's breech
acarine,7,noun,mite;tick
accede,6,verb,ascend|connive
accelerate,10,verb,brisk
accelerated,11,verb,brisk
acceleration,12,noun,pickup;precipitation|angular acceleration;centripetal acceleration
acceleration unit,17,noun,gal
accelerator,11,noun,biocatalyst;enzyme;platinum black|betatron;charge-exchange accelerator;cockcroft and walton accelerator;collider;cyclotron;linear accelerator
accent,6,noun,drawl|stress|eye dialect;patois|accentuation;sentence stress;tonic accent;word stress|acute accent;grave accent;stress mark
accent,6,verb,background;bear down;bring out;drive home;point up;re-emphasise;topicalize;underscore
accent mark,11,noun,acute accent;grave accent;stress mark
accented,8,verb,background;bear down;bring out;drive home;point up;re-emphasise;topicalize;underscore
accenting,9,verb,background;bear down;bring out;drive home;point up;re-emphasise;topicalize;underscore
accentor,8,noun,hedge sparrow
accentuate,10,verb,background;bear down;bring out;drive home;point up;re-emphasise;topicalize;underscore
accept,6,verb,acknowledge;acknowledge;approbate;believe;espouse;receive;resign;respect;take a bow|accept;adopt;honor;welcome|agree;contract in;give;permit;settle;undertake;yield|profess|face the music|co-opt
acceptability,13,noun,admissibility;palatability
acceptableness,14,noun,admissibility;palatability
acceptance,10,noun,fatalism;recognition|embrace|acceptation;acquiescence;approval;contentedness;recognition;vogue;welcome|self acceptance
acceptation,11,noun,embrace
accepted,8,verb,acknowledge;acknowledge;approbate;believe;espouse;receive;resign;respect;take a bow|accept;adopt;honor;welcome|agree;contract in;give;permit;settle;undertake;yield|profess|face the music|co-opt
accepting,9,verb,acknowledge;acknowledge;approbate;believe;espouse;receive;resign;respect;take a bow|accept;adopt;honor;welcome|agree;contract in;give;permit;settle;undertake;yield|profess|face the music|co-opt
access,6,noun,door|entrance|back door|disk access|back door
access,6,verb,address;log in
access code,11,noun,back door
accessary,9,noun,abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate
accessibility,13,noun,command;print
accession,9,noun,door
accessory,9,noun,belt;furnishing|auto accessory;computer accessory;fitting;fixings|abettor;accessory after the fact;accessory before the fact;accessory during the fact;confederate
accident,8,noun,collision;crash;fatal accident;injury;shipwreck|break;coincidence;hap;lottery
accidental injury,17,noun,concussion;mutilation
acclaim,7,verb,bravo
acclivity,9,noun,uphill
accolade,8,noun,academic degree;academy award;aliyah;cachet;citation;decoration;emmy;letter;mention;nobel prize;pennant;prix de rome;prix goncourt;trophy;trophy
accommodate,11,verb,adjust;anglicise;christianize;domesticate;domesticate;electrify;fit;gear;naturalize;shoehorn;tailor;transcribe|house;seat;sleep|barrack;keep;quarter
accommodating,13,verb,adjust;anglicise;christianize;domesticate;domesticate;electrify;fit;gear;naturalize;shoehorn;tailor;transcribe|house;seat;sleep|barrack;keep;quarter
accommodation,13,noun,domestication;habituation;readjustment;shakedown|compromise;modus vivendi|cabin class;first class;lodging house;stabling;steerage;tourist class|service
accompanied,11,verb,attend;collocate with;rule|escort;run;see;tag along;walk
accompaniment,13,noun,associate;background|descant;vamp|convoy
accompany,9,verb,attend;collocate with;rule|escort;run;see;tag along;walk
accompanying,12,verb,attend;collocate with;rule|escort;run;see;tag along;walk
accomplice,10,noun,decoy
accomplish,10,verb,consummate;consummate;dispatch;do;get over;run|average;begin;come to;compass;culminate;reach;score;wangle
accomplished,12,verb,consummate;consummate;dispatch;do;get over;run|average;begin;come to;compass;culminate;reach;score;wangle
accomplishment,14,noun,arrival;attainment;base on balls;beachhead;cakewalk;close call;credit;face saver;fait accompli;feat;going;haymaking;liberation;masterpiece;masterstroke;performance;record;recruitment;smooth|craft;horsemanship;literacy;marksmanship;mastership;mixology;numeracy;oarsmanship;salesmanship;seamanship;showmanship;soldiering;swordsmanship
accord,6,noun,community;concurrence;consensus;sense of the meeting;social contract;unanimity;unison|alliance;commercial treaty;convention;peace
accord,6,verb,blend|enfranchise;give
according,9,verb,blend|enfranchise;give
accost,6,verb,approach;greet
accouchement,12,noun,active birth;alternative birth;natural childbirth
accoucheur,10,noun,perinatologist
account,7,noun,ancient history;annals;biography;case history;etymology;historical document;recital|bulletin;dispatch;exclusive;newsletter;urban legend|bank account;brokerage account;short account|accounting;definition;deriving;explication;exposition;gloss;interpretation;justification;reason;simplification;walk-through|capital account;capital account;expense account;profit and loss;suspense account|anecdote;debriefing;direct discourse;gossip;indirect discourse;megillah;narration;summarization|check;electric bill;hotel bill;medical bill;phone bill;reckoning;tax bill
account,7,verb,balance;charge;compound;credit;debit;overbalance
account book,12,noun,cost ledger;daybook;general ledger;subsidiary ledger
account statement,17,noun,capital account;capital account;expense account;profit and loss;suspense account
accountancy,11,noun,bookkeeping;cost accounting;inventory accounting
accountant,10,noun,auditor;bean counter;bookkeeper;certified public accountant;chartered accountant;cost accountant
accounting,10,noun,balance of payments;current account|bookkeeping;cost accounting;inventory accounting|accrual basis;audited account;cash basis;control account;credit side;debit side;entry;pooling of interest;review|capital account;capital account;expense account;profit and loss;suspense account
accounting,10,verb,balance;charge;compound;credit;debit;overbalance
accounting entry,16,noun,adjusting entry;credit;debit
accounting system,17,noun,accrual basis;audited account;cash basis;control account;credit side;debit side;entry;pooling of interest;review
accouterment,12,noun,belt;furnishing
accoutrement,12,noun,belt;furnishing
accretion,9,noun,backup;buildup;deposition
accrual,7,noun,buildup
accrue,6,verb,redound
accrued,7,verb,redound
accruement,10,noun,buildup
acculturate,11,verb,detribalize
acculturation,13,noun,breeding;cultivation|meme
