Word,Count,Sense,Definition,Example 1,Example 2
abandon,7,give up,stop maintaining or insisting on,of ideas or claims,He abandoned the thought of asking for her hand in marriage
abandon,7,,leave someone who needs or counts on you,leave in the lurch,The mother deserted her children
abandon,7,give up,give up with the intent of never claiming again,Abandon your life to God,She gave up her children to her ex-husband when she moved to Tahiti
abate,5,,become less in amount or intensity,The storm abated,The rain let up after a few hours
aberrate,8,,,diverge or deviate from the straight path,produce aberration
abhor,5,,find repugnant,I loathe that man,She abhors cats
abjure,6,,"formally reject or disavow a formerly held belief, usually under pressure",He retracted his earlier statements about his religion,She abjured her beliefs
abort,5,,terminate before completion,abort the mission,abort the process running on my computer
abound,6,,be abundant or plentiful,exist in large quantities,
abound,6,burst,be in a state of movement or action,The room abounded with screaming children,The garden bristled with toddlers
abscond,7,,run away,usually includes taking something or somebody along,The thief made off with our silver
absorb,6,,"take in, also metaphorically",The sponge absorbs water well,She drew strength from the minister's words
absorb,6,,,become imbued,"The liquids, light, and gases absorb"
abuse,5,,use wrongly or improperly or excessively,Her husband often abuses alcohol,"while she was pregnant, she abused drugs"
abuse,5,,use foul or abusive language towards,The actress abused the policeman who gave her a parking ticket,The angry mother shouted at the teacher
accept,6,live with,tolerate or accommodate oneself to,I shall have to accept these unpleasant working conditions,I swallowed the insult
accept,6,,consider or hold as true,I cannot accept the dogma of this church,accept an argument
accept,6,,react favorably to,consider right and proper,People did not accept atonal music at that time
accept,6,,give an affirmative reply to,respond favorably to,I cannot accept your invitation
accept,6,,receive willingly something given or offered,The only girl who would have him was the miller's daughter,I won't have this dog in my house!
accept,6,admit,admit into a group or community,accept students for graduate study,We'll have to vote on whether or not to admit a new member
access,6,,reach or gain access to,How does one access the attic in this house?,"I cannot get to the T.V. antenna, even if I climb on the roof"
access,6,,,obtain or retrieve from a storage device,as of information on a computer
accommodate,11,hold | admit |,have room for,hold without crowding,This hotel can accommodate 250 guests
accredit,8,,grant credentials to,The Regents officially recognized the new educational institution,recognize an academic degree
accrete,7,,,grow together (of plants and organs),After many years the rose bushes grew together
accumulate,10,,collect or gather,Journals are accumulating in my office,The work keeps piling up
accuse,6,,bring an accusation against,level a charge against,The neighbors accused the man of spousal abuse
acetylate,9,,,receive substitution of an acetyl group,the compounds acetylated
ache,4,yearn | yen,have a desire for something or someone who is not present,She ached for a cigarette,I am pining for my lover
acidify,7,,,turn acidic,the solution acetified
acknowledge,11,recognize | recognise | know |,accept (someone) to be what is claimed or accept his power and authority,The Crown Prince was acknowledged as the true heir to the throne,We do not recognize your gods
acquire,7,win,win something through one's efforts,I acquired a passing knowledge of Chinese,Gain an understanding of international finance
act,3,,behave in a certain manner,show a certain behavior,conduct or comport oneself
act,3,play | act as,pretend to have certain qualities or state of mind,He acted the idiot,She plays deaf when the news are bad
act,3,,discharge one's duties,She acts as the chair,In what capacity are you acting?
act,3,,,play a role or part,Gielgud played Hamlet
act,3,play a roleplay,,perform on a stage or theater,She acts in this play
act,3,,"perform an action, or work out or perform (an action)",think before you act,We must move quickly
act involuntarily,17,,act in an uncontrolled manner,,
act up,6,,misbehave badly,act in a silly or improper way,The children acted up when they were not bored
action,6,,institute legal proceedings against,file a suit against,He was warned that the district attorney would process him
acuminate,9,,make sharp or acute,taper,make (something) come to a point
add,3,,make an addition (to),join or combine or unite with others,"increase the quality, quantity, size or scope of"
add,3,,,^              make an addition by combining numbers,"Add 27 and 49, please!"
add,3,append,state or say further,"`It doesn't matter,' he supplied",
address,7,call e,"greet, as with a prescribed form, title, or name",He always addresses me with `Sir',Call me Mister
adduce,6,,advance evidence for,,
adhere,6,stick |,be a devoted follower or supporter,The residents of this village adhered to Catholicism,She sticks to her principles
adjourn,7,,break from a meeting or gathering,We adjourned for lunch,The men retired to the library
adjust,6,,alter or regulate so as to achieve accuracy or conform to a standard,"Adjust the clock, please",correct the alignment of the front wheels
administer,10,,work in an administrative capacity,supervise or be in charge of,administer a program
administer,10,,direct the taking of,administer an exam,administer an oath
admire,6,,look at with admiration,,
admit,5,,declare to be true or admit the existence or reality or truth of,He admitted his errors,She acknowledged that she might have forgotten
admit,5,,allow participation in or the right to be part of,"permit to exercise the rights, functions, and responsibilities of",admit someone to the profession
admit,5,allow in,allow to enter,grant entry to,We cannot admit non-members into our club building
admit,5,allow |,afford possibility,This problem admits of no solution,This short story allows of several different interpretations
admix,5,,,mix or blend,Hyaline casts were admixed with neutrophils
adolesce,8,,become adolescent,pass through adolescence,The children are beginning to adolesce around the age of 12
adopt,5,follow,choose and follow,"as of theories, ideas, policies, strategies or plans",She followed the feminist movement
advect,6,,convey by horizontal mass movement of a fluid,energy advected from the environment,
advertise,9,,make publicity for,try to sell (a product),The salesman is aggressively pushing the new computer model
affect,6,,act physically on,have an effect upon,the medicine affects my heart rate
affect,6,,have an emotional or cognitive impact upon,This child impressed me as unusually mature,This behavior struck me as odd
affiliate,9,,join in an affiliation,The two colleges affiliated,They affiliated with a national group
afflict,7,,cause great unhappiness for,distress,she was afflicted by the death of her parents
afford,6,open | give f,afford access to,the door opens to the patio,The French doors give onto a terrace
afford,6,,have the financial means to do something or buy something,We can't afford to send our children to college,Can you afford this car?
affranchise,11,,grant freedom to,as from slavery or servitude,Slaves were enfranchised in the mid-19th century
age,3,,begin to seem older,get older,The death of his wife caused him to age fast
agree,5,,"consent or assent to a condition, or agree to do something",She agreed to all my conditions,He agreed to leave her alone
agree,5,,be in accord,be in agreement,We agreed on the terms of the settlement
agree,5,,,show grammatical agreement,Subjects and verbs must always agree in English
aim,3,,"point or cause to go (blows, weapons, or objects such as photographic equipment) towards",Please don't aim at your little brother,He trained his gun on the burglar
air,3,send | broadcast | beam,,"broadcast over the airwaves, as in radio or television",We cannot air this X-rated song
air,3,,,be broadcast,This show will air Saturdays at 2 P.M.
air out,7,,expose to fresh air,aerate your old sneakers,
air-cool,8,,,equip with an apparatus for controlling the humidity and temperature,Our house is not air-conditioned
alarm,5,,warn or arouse to a sense of danger or call to a state of preparedness,The empty house alarmed him,We alerted the new neighbors to the high rate of burglaries
alcoholize,10,,,"make alcoholic, as by fermenting",alcoholize prunes
alcoholize,10,alcoholise |,,treat or infuse with alcohol,alcoholize the fruit and let them sit in the refrigerator
align,5,,place in a line or arrange so as to be parallel or straight,align the car with the curb,align the sheets of paper on the table
align,5,ordinate,bring (components or parts) into proper or desirable coordination correlation,align the wheels of my car,ordinate similar parts
alkalinize,10,,,make (a substance) alkaline,The oxide is alkalized
alkalize,8,,,turn basic and less acidic,the solution alkalized
allege,6,,report or maintain,He alleged that he was the victim of a crime,He said it was too late to intervene in the war
allegorize,10,,interpret as an allegory,,
allocate,8,,distribute according to a plan or set apart for a special purpose,I am allocating a loaf of bread to everyone on a daily basis,I'm allocating the rations for the camping trip
allow,5,,allow or plan for a certain possibility,concede the truth or validity of something,I allow for this possibility
allow,5,appropriate,give or assign a resource to a particular person or cause,I will earmark this money for your research,She sets aside time for meditation every day
allow,5,permit | tolerate |,allow the presence of or allow (an activity) without opposing or prohibiting,We don't allow dogs here,Children are not permitted beyond this point
allow,5,,let have,grant permission,Mandela was allowed few visitors in prison
alloy,5,,,,c 06135149 n 0000 01 + 08 00 | make an alloy of
allude,6,,make a more or less disguised reference to,He alluded to the problem but did not mention it,
alphabetize,11,,,provide with an alphabet,Cyril and Method alphabetized the Slavic languages
alternate,9,,exchange people temporarily to fulfill certain jobs and functions,,
ammonify,8,,,treat with ammonia,cause to undergo ammonification
amputate,8,,,remove surgically,amputate limbs
anagram,7,,read letters out of order to discover a hidden meaning,,
analyze,7,analyse | psychoanalyze,,subject to psychoanalytic treatment,I was analyzed in Vienna by a famous psychiatrist
analyze,7,analyse | break down,"make a mathematical, chemical, or grammatical analysis of",break down into components or essential features,analyze a specimen
analyze,7,,consider in detail and subject to an analysis in order to discover essential features or meaning,analyze a sonnet by Shakespeare,analyze the evidence in a criminal trial
anatomize,9,,analyze down to the smallest detail,This writer anatomized the depth of human behavior,
anesthetize,11,,administer an anesthetic drug to,The patient must be anesthetized before the operation,anesthetize the gum before extracting the teeth
angle,5,,move or proceed at an angle,he angled his way into the room,
animate,7,,give new life or energy to,A hot soup will revive me,This will renovate my spirits
ankylose,8,,,undergo ankylosis,joints ankylose
annotate,8,,,add explanatory notes to or supply with critical comments,The scholar annotated the early edition of a famous novel
announce,8,,make known,make an announcement,She denoted her feelings clearly
annoy,5,,cause annoyance in,"disturb, especially by minor irritations",Mosquitoes buzzing in my ear really bothers me
answer,6,,give the correct answer or solution to,answer a question,answer the riddle
answer,6,,respond to a signal,answer the door,answer the telephone
answer,6,,react verbally,She didn't want to answer,answer the question
answer,6,,be satisfactory for,meet the requirements of or serve the purpose of,This may answer her needs
antique,7,,,shop for antiques,We went antiquing on Saturday
apologize,9,,acknowledge faults or shortcomings or failing,I apologized for being late,He apologized for the many typoes
apologize,9,apologise | excuse | rationalize,"defend, explain, clear away, or make excuses for by reasoning",rationalize the child's seemingly crazy behavior,he rationalized his lack of success
appeal,6,,request earnestly (something from somebody),ask for aid or protection,appeal to somebody for help
appear,6,,come into sight or view,He suddenly appeared at the wedding,A new star appeared on the horizon
appear,6,come along,"come into being or existence, or appear on the scene",Then the computer came along and changed our lives,Homo sapiens appeared millions of years ago
appear,6,come out |,be issued or published,Did your latest book appear yet?,The new Woody Allen film hasn't come out yet
appear,6,,,"appear as a character on stage or appear in a play, etc.",Gielgud appears briefly in this movie
appear,6,seem |,"seem to be true, probable, or apparent",It seems that he is very gifted,It appears that the weather in California is very bad
appear,6,,"present oneself formally, as before a (judicial) authority",He had to appear in court last month,She appeared on several charges of theft
append,6,,fix to,attach,append a charm to the necklace
apply,5,,ask (for something),He applied for a leave of absence,She applied for college
apply,5,,refer (a word or name) to a person or thing,He applied this racial slur to me,
apply,5,,be pertinent or relevant or applicable,The same laws apply to you,This theory holds for all irrational numbers
